Name,Review Count,Avg Review Score,# commits
srh,5,4.2,9859
JJ,15,4.866666667,9503
Heather,33,4.696969697,5977
p,7,4,5586
hydra,5,4.2,2959
rick,5,5,2517
gma,15,4.666666667,2448
Rayman,5,4,2290
danni,8,4,1942
jean,5,5,1733
kevina,6,3.833333333,1426
Andrea,10,4.8,1372
mjs,7,5,1368
bear,5,4,1317
pencil,9,3.666666667,1305
darkrose,10,4.8,1289
cj,7,5,1068
n,6,4.5,1009
Marcon,5,3.6,875
jam,10,5,872
sam,6,3,840
JCCR,11,4.727272727,822
tt,6,4.333333333,800
bruce,8,3.875,794
jb,15,4.6,774
david,6,5,759
dk,6,4.666666667,753
Alexia,7,4.857142857,734
michelle,7,5,646
Chandler,29,4.206896552,634
RJ,13,4.153846154,633
jk,10,4.8,632
cs,9,3.666666667,623
ruks,13,3.615384615,555
Lane,6,4.666666667,539
paul,5,4.8,518
djm,5,4.4,511
Roger,7,4,507
s,6,2.166666667,507
Masha,6,5,498
erik,6,3.333333333,492
robert,5,4.6,439
rbmj,4,3.75,434
kristi,9,4.555555556,409
shawn,6,4.333333333,408
IceOnFire,7,4.714285714,371
CMB,14,4.214285714,363
nicole,5,4.2,339
reta,8,4.375,323
mjc,6,4.833333333,319
Fiona,5,5,318
csm,140,4.292857143,302
mm2,11,4.363636364,286
WM,9,4.555555556,266
patti,5,3.8,258
betz,11,4,247
fox,12,4.75,235
KeiroD,5,4.4,229
mark,12,4.166666667,224
duane,7,4.714285714,216
tari,13,4.692307692,211
komondor,4,4,209
daroo,6,4.333333333,207
jdub,5,5,207
vinny,5,4.2,199
nano,8,3.875,198
Jose,11,4.727272727,195
jbrant,6,4.166666667,195
nikki,5,5,192
johnny,19,4.578947368,189
Autumn,14,4.357142857,188
Emily,17,4.470588235,188
maria,5,4.2,186
scub,11,3.090909091,185
alaska,9,3.777777778,182
bwl,5,3.4,176
homer,5,4,170
me,9,4.222222222,159
tig,6,4.166666667,158
J,30,4.633333333,157
Bill,48,4.4375,157
dland,5,5,155
alphonse,7,5,151
kay,5,3,144
phred,5,4.4,139
Joker,7,4.857142857,131
simone,14,3.571428571,130
goodsign,16,4,128
chris,5,4.8,126
cheryl,5,4.6,124
ss,7,4.714285714,124
stefang,5,4.8,124
smiles,5,4.8,122
Suz,16,4.625,120
Apiaceae,9,3.222222222,111
Eusebius,12,5,110
rbrown,7,4.571428571,101
pseudonym,9,4.222222222,98
can,5,5,98
zephster,6,4.833333333,98
wolf,5,4.8,97
Valentine,6,4.666666667,95
jem,7,5,90
Jenn,8,4.5,88
Chrissy,5,5,86
tarnation,6,4.833333333,84
lhm,6,4,82
River,5,4,81
naturegirl,20,3.85,80
victoria,8,5,78
sp,5,5,78
kgj,5,3.8,77
sarah,5,5,77
vn,7,4.428571429,74
daniel,5,5,70
JavaGuy147,7,4.714285714,67
steve,10,4.6,66
tnt,8,4.375,66
jt,29,3.448275862,63
Spyce,8,3.5,63
jon,9,3.333333333,62
anthony,5,4.4,61
Harpseal,12,4.083333333,59
frenchie,5,4.6,59
judith,5,4.8,53
kale,6,4.666666667,52
djin,7,4.857142857,50
MnM,7,5,49
eb,6,1.666666667,49
oion,6,3.666666667,48
mh,8,4.625,46
cat,9,3.666666667,45
Bun,9,4.111111111,45
Lantean,5,4.2,44
stephie,10,4.1,42
lisa,10,3.4,42
e,7,2.571428571,41
john,6,5,39
l2,34,3.5,38
LoveBug,14,4.214285714,38
SageFox,6,4.5,37
reader,5,5,35
Schwartz,6,3.666666667,35
clarita,5,3.4,33
kjs,5,2,33
deedee,5,3.8,33
shine,5,2.6,32
Poogy,13,3.230769231,31
Kitty,6,4.333333333,31
Dragoneer,5,5,30
unixman,9,3.111111111,29
sara,5,5,28
MM,6,5,27
mw,5,4.4,27
cc,5,3.6,26
HR,5,5,26
bbrown,11,4.363636364,26
Kiwi,26,4,25
pen,18,4.444444444,25
Kelly,6,3.5,24
msf,7,4.571428571,23
kjim,6,4.166666667,22
Natasha,9,4.888888889,22
A,21,4.666666667,22
bon,16,4.3125,21
ska,11,5,21
Atredes,11,4.454545455,20
eugene,8,4.25,20
jpr,9,3.888888889,20
scwheeler,14,4.857142857,20
jmac,6,4.333333333,18
amie,5,4.2,18
ndrwum,5,3.8,18
KeriA,6,5,18
reviewer,14,3.928571429,18
Bren,13,3.692307692,16
Medium,5,4,16
AlisonA,16,4.375,16
fm,6,4.5,16
Kathryn,16,3.125,15
Gizmo,9,3.555555556,14
Nilla,5,4.6,14
Shorty,11,4.545454545,14
tom,13,3.461538462,14
Anacondo,6,4.333333333,13
joanh,8,4.625,13
sabra,7,4.142857143,13
t-t,5,5,12
iconoclast,6,5,12
Zola,7,4.428571429,12
ilovesoup,6,5,10
astraycat,13,4.384615385,9
woowoo,21,4.523809524,9
esker,6,3.666666667,9
skf,6,4.333333333,9
kristin,5,4.2,8
jackie,11,3.818181818,8
patchouli,13,4.769230769,8
Penina,5,4,8
Callaghan,6,4.5,8
ivy,4,3,8
Geo,5,4.2,7
brich,5,4.2,7
shovenose,13,4.384615385,7
ch,5,4,6
lwelch,5,4.6,6
luckybug,5,4.8,6
jburgess,9,4.333333333,6
iblum,10,4.8,6
ephemeral,55,3.763636364,6
Effie,5,5,6
truth1ness,7,5,6
carla,6,4.833333333,6
Muttley,15,4.533333333,6
JDNM,6,3.333333333,5
mike,7,4.428571429,5
kurt,6,5,5
GameMaker,9,4.444444444,5
Termite,5,4.8,5
mc,7,4.285714286,4
coffeegirl,5,3.8,4
Grace,22,4.227272727,4
mlp,6,4.5,4
Boudin,13,4.461538462,4
eil,6,4.5,4
Samantha,9,4.222222222,4
Jill,6,4.833333333,3
barry,16,4.4375,3
freddy,6,4,3
Tanzina,16,4.25,3
nashvillegirl,10,3.5,3
chillwater,5,4.4,3
happy,6,5,3
mammamia,6,3.833333333,3
stickman,6,3.166666667,3
AJ,49,4.183673469,3
Fari,5,4.2,3
moonglow,5,3.6,2
Lesleigh,9,4.777777778,2
liz,7,4.714285714,2
kimberlie,6,3.166666667,2
jmyers,5,5,2
nonpareil,50,4.46,2
Marabar,11,5,2
Malvin,12,4.5,2
emgreen,5,5,2
esands,6,4.833333333,2
boocat,5,4.8,1
KayJo,5,3.4,1
curmudgeon,5,4.6,1
daisy,6,4.666666667,1
Moto,12,4.416666667,1
char,5,4.4,1
katrina,5,5,1
tc55,5,3.6,1
1,14,4.714285714,1
jeninmaine,5,4.6,1
dremin,13,4.384615385,1
sbmiller,5,5,1
cb,37,4.189189189,1
honeyb,10,4.6,1
Jackson,8,5,1
xenofan,10,3.6,1
yh,6,3.833333333,1
ghost,6,4.333333333,1
